scan_date,scan_time,symbol,price,decision,direction,confidence,leverage,risk,momentum_24h,momentum_7d,volume_trend_pct,rsi,funding_rate,oi_change_pct,reasoning
2026-06-07,19:58:31,BTCUSDT,64907.2,HOLD,none,0.35,5,HIGH,48.8,17.48,-89.4,42.3,0.5,0.0,"While 24h momentum is strong (+48.80%) and macro environment favours longs (extreme fear regime), multiple red flags prevent conviction: RSI at 42.3 suggests limited upside before overbought, volume c"
2026-06-07,19:58:31,ETHUSDT,4426.79,HOLD,none,0.35,5,HIGH,184.07,287.18,-98.8,52.3,0.5,0.0,"While macro environment favours longs (extreme fear) and momentum is extremely strong (+184% 24h, +287% 7d), critical sell signals override: volume collapsed -98.8% below 7-day average indicating exha"
2026-06-07,19:58:31,BNBUSDT,559.6,HOLD,none,0.35,5,MEDIUM,0.0,-24.12,-100.0,45.9,0.01,0.0,"Mixed signals prevent conviction: while macro environment favours longs (extreme fear, positive funding rate) and RSI (45.9) is neutral, negative 7d momentum (-24.12%), volume collapse (-100%), and di"
2026-06-07,19:58:31,SOLUSDT,43.57,HOLD,none,0.35,5,HIGH,0.0,-96.84,-99.8,50.0,-0.5,-0.01,"Mixed signals prevent conviction: while macro environment favors longs and funding rate is favorable (-0.5%), the 7d momentum is deeply negative (-96.84%), volume has collapsed (-99.8%), and RSI is ne"
2026-06-07,19:58:31,XRPUSDT,1.7122,HOLD,none,0.35,5,HIGH,65.98,124.88,1997.9,19.3,0.5,0.0,"XRP shows extreme momentum (+65.98% 24h, +124.88% 7d) with RSI at 19.3 (oversold), but funding rate at +0.5000% exceeds the +0.15% threshold, creating severe squeeze risk for longs. Macro environment "
2026-06-07,19:58:31,DOGEUSDT,0.26658,HOLD,none,0.25,5,HIGH,0.0,82.59,-100.0,89.8,0.58,0.0,"RSI at 89.8 indicates extreme overbought conditions with no fresh volume confirmation (volume down 100% vs 7d avg), creating significant squeeze risk despite strong 7d momentum. Funding rate at +0.58%"
2026-06-07,19:58:31,ADAUSDT,0.1491,HOLD,none,0.35,5,HIGH,-3.81,-37.09,-100.0,13.7,0.01,0.0,"Extreme fear regime suggests favoring longs, but ADA exhibits severe downtrend (-37.09% 7d momentum), oversold RSI (13.7), and critically collapsed volume (-100% vs 7d avg) indicating exhaustion witho"
2026-06-07,19:58:31,TRXUSDT,0.35167,HOLD,none,0.15,5,HIGH,0.0,-1.2,-100.0,100.0,0.01,0.0,"RSI at 100.0 indicates extreme overbought conditions with price locked at 7d low despite zero 24h momentum, creating a divergence signal. Volume collapsed -100% versus 7d average, contradicting any tr"
2026-06-07,19:58:31,LINKUSDT,4.06,HOLD,none,0.35,5,MEDIUM,0.0,-1.6,-96.6,44.0,0.01,0.0,"Mixed signals prevent conviction: LINK is 23.66% below 7d high with negative 7d momentum (-1.60%), but macro environment favours longs during extreme fear. Volume collapse (-96.6%) and flat 24h moment"
2026-06-07,19:58:31,DOTUSDT,0.9644,HOLD,none,0.35,5,HIGH,-8.67,-19.07,-99.1,0.1,-0.5997,0.0,"Extreme fear environment and massively negative momentum (-19.07% 7d, -8.67% 24h) suggest capitulation, but critically weak volume (-99.1% vs 7d avg) and RSI at 0.1 indicate exhaustion rather than con"
2026-06-07,19:58:31,NEARUSDT,0.0194,HOLD,none,0.15,5,HIGH,0.0,67.24,-100.0,100.0,0.01,0.0,"RSI at 100.0 indicates extreme overbought conditions with zero 24h momentum despite 67.24% 7d gains, suggesting exhaustion after a sharp rally. Volume has collapsed (-100% vs 7d avg) with no price mov"
2026-06-07,19:58:31,BCHUSDT,132198.4,HOLD,none,0.05,5,HIGH,0.0,0.0,0.0,100.0,0.58,0.0,"All technical indicators show zero movement (0% momentum, flat range, RSI at extreme 100.0), suggesting either a data error or complete market freeze on BCH/USDT. Elevated funding rate (+0.58% per 8h)"
2026-06-07,19:58:31,APTUSDT,0.7986,HOLD,none,0.25,5,HIGH,4.58,-15.07,-100.0,99.7,0.0013,0.0,"RSI at 99.7 signals extreme overbought conditions with high squeeze risk, contradicting the bullish 24h momentum despite macro favoring longs. Volume has collapsed (-100% vs 7d avg) while price sits n"
2026-06-07,19:58:31,ICPUSDT,3.209,HOLD,none,0.35,5,HIGH,2.98,21.51,-100.0,64.0,1.0,-0.0,"While ICP shows strong 7d momentum (+21.51%) and RSI at 64 suggests room to run, the +1.0000% funding rate (6.67× the safe threshold of +0.15%) presents severe squeeze risk for longs. Critically, volu"
2026-06-07,19:58:31,HBARUSDT,0.08524,HOLD,none,0.15,5,HIGH,0.0,-13.75,-100.0,100.0,0.58,0.0,"RSI at 100.0 indicates extreme overbought conditions with exhaustion risk, contradicting any bullish entry despite macro fear environment favoring longs. Volume has collapsed (-100% vs 7d avg) and 7d "
2026-06-07,19:58:31,UNIUSDT,2.9,HOLD,none,0.15,5,HIGH,0.0,-4.89,-100.0,0.0,1.0,0.0,"UNI shows severe technical deterioration with RSI at 0.0 (extreme oversold), -4.89% 7d momentum, and volume collapsed to -100% vs average. While macro environment favors longs in extreme fear, the coi"
2026-06-07,19:58:31,SUIUSDT,0.7507,HOLD,none,0.35,5,HIGH,2.12,-16.68,-100.0,35.7,0.01,0.0,"RSI of 35.7 indicates oversold conditions (< 25 threshold approach), but severe -100% volume collapse and -16.68% 7d momentum create insufficient conviction despite macro FEAR environment favouring lo"
2026-06-07,19:58:31,HYPEUSDT,72.759,HOLD,none,0.15,5,HIGH,0.0,14.21,-100.0,0.0,0.63,0.0,"HYPE shows extreme technical distress with RSI at 0.0 (severely oversold), zero 24h momentum, and critically low volume (-100% vs 7d average) indicating illiquidity and potential price staleness. Desp"
2026-06-07,20:06:48,BTCUSDT,62375.3,BUY,long,0.62,5,MEDIUM,2.64,-15.61,-45.3,47.7,-0.0001,1.36,"Macro environment favours longs (extreme fear regime), 24h momentum is positive (+2.64%), and funding rate is neutral (slightly negative, no squeeze risk). However, 7d momentum is strongly negative (-"
2026-06-07,20:06:48,ETHUSDT,1628.34,BUY,long,0.68,5,MEDIUM,4.52,-19.48,-35.9,33.1,-0.0103,0.88,"Extreme fear environment (FGI: 12) with market regime favouring longs creates asymmetric upside opportunity. Strong 24h momentum (+4.52%) and negative funding rate (-0.0103%) support long entry, thoug"
2026-06-07,20:06:48,BNBUSDT,590.8,BUY,long,0.68,5,MEDIUM,3.02,-18.26,-64.8,46.6,0.01,1.24,"Macro environment favours longs (extreme fear, positive market regime). BNB shows +3.02% 24h momentum with RSI at 46.6 (neutral, not overbought). Funding rate at +0.0100% is well below danger threshol"
2026-06-07,20:06:48,SOLUSDT,64.75,HOLD,none,0.35,5,MEDIUM,3.77,-21.72,-41.2,37.6,-0.0275,-0.23,"Mixed signals prevent conviction: 24h momentum is positive (+3.77%) but severely undercut by 7d momentum (-21.72%) and distance from 7d high (-22.09%), indicating weak uptrend without sustained streng"
2026-06-07,20:06:48,XRPUSDT,1.1412,HOLD,none,0.35,5,MEDIUM,5.0,-14.91,-25.6,52.4,-0.0173,0.23,"Mixed signals prevent conviction: strong 24h momentum (+5%) and favorable macro environment (extreme fear regime) support a long, but negative 7d momentum (-14.91%), below 7d high (-15.32%), and decli"
2026-06-07,20:06:48,DOGEUSDT,0.08444,HOLD,none,0.35,5,MEDIUM,3.99,-16.17,-42.2,44.3,0.0059,-0.59,"Mixed signals prevent conviction: 24h momentum is positive (+3.99%) but 7d momentum is sharply negative (-16.17%), and volume is declining 42.2% below 7d average. RSI at 44.3 is neutral, funding rate "
2026-06-07,20:06:48,ADAUSDT,0.1639,HOLD,none,0.35,5,MEDIUM,4.93,-30.84,-28.7,58.1,0.01,-2.0,"Mixed signals prevent conviction: 24h momentum is positive (+4.93%) and funding rate is benign (+0.0100%), supporting a long bias in the fear regime. However, strong 7d downtrend (-30.84%), declining "
2026-06-07,20:06:48,TRXUSDT,0.32921,HOLD,none,0.42,5,MEDIUM,2.98,-5.54,-15.8,54.4,0.0023,-0.53,"Mixed signals prevent conviction: 24h momentum is positive (+2.98%) but 7d momentum is negative (-5.54%), and volume is declining (-15.8% below avg). RSI at 54.4 is neutral, funding rate is benign at "
2026-06-07,20:06:48,AVAXUSDT,6.73,HOLD,none,0.35,5,HIGH,0.76,-25.3,-40.7,29.4,-0.0156,-0.95,"RSI at 29.4 signals oversold conditions supporting a potential long, and negative funding rate (-0.0156%) reduces squeeze risk for longs in an extreme fear regime that favours longs. However, strong 7"
2026-06-07,20:06:48,TONUSDT,1.7016,BUY,long,0.68,5,MEDIUM,9.91,-10.26,-43.5,57.4,0.005,2.71,"Strong 24h momentum (+9.91%) with macro environment favoring longs (extreme fear regime). RSI at 57.4 shows room to run without overextension. However, negative 7d momentum (-10.26%), depressed volume"
2026-06-07,20:06:48,LINKUSDT,7.734,BUY,long,0.62,5,MEDIUM,5.76,-16.16,-49.7,48.3,0.0054,-1.0,"Macro environment favours longs (extreme fear regime, caution on shorts). 24h momentum +5.76% with price near 7d range mid-point shows short-term strength. However, 7d downtrend (-16.16%), weak volume"
2026-06-07,20:06:48,DOTUSDT,0.9657,HOLD,none,0.35,5,MEDIUM,2.21,-18.96,-62.1,38.0,-0.0128,-1.16,"Mixed signals prevent conviction: while macro FEAR regime favors longs and funding rate is neutral (-0.0128%), the 7d momentum is strongly negative (-18.96%), RSI at 38 suggests oversold conditions bu"
2026-06-07,20:06:48,LTCUSDT,42.15,HOLD,none,0.35,5,HIGH,-1.4,-19.41,-2.1,26.1,-0.0152,4.58,"RSI at 26.1 (< 25) triggers HIGH risk flag despite extreme fear macro environment favouring longs. Strong negative momentum (-19.41% 7d, -19.87% from high) conflicts with the FEAR regime bias. While f"
2026-06-07,20:06:48,NEARUSDT,1.8914,HOLD,none,0.35,5,HIGH,-1.29,-16.74,-42.5,24.9,0.0078,1.89,"RSI at 24.9 (below 25 threshold) signals oversold conditions and extreme bearish pressure, triggering HIGH risk classification. While macro regime favours longs and funding rate is benign at +0.0078%,"
2026-06-07,20:06:48,BCHUSDT,224.9,HOLD,none,0.35,5,MEDIUM,2.46,-25.85,-16.4,38.9,-0.0085,7.17,"Mixed signals prevent clear conviction: while macro environment favours longs and RSI (38.9) shows oversold conditions, the 7-day momentum is severely negative (-25.85%) with price down 26.17% from 7d"
2026-06-07,20:06:48,APTUSDT,0.6722,HOLD,none,0.35,5,HIGH,3.07,-28.5,-53.5,33.6,-0.0041,-0.43,"APT shows extreme RSI (33.6) suggesting oversold conditions, but severe 7d momentum collapse (-28.50%) and 53.5% volume decline indicate weak conviction in recovery. Negative funding rate (-0.0041%) a"
2026-06-07,20:06:48,ICPUSDT,2.376,HOLD,none,0.35,5,MEDIUM,3.17,-12.74,-44.1,39.2,0.01,-2.71,"Mixed signals prevent conviction: 24h momentum is positive (+3.17%) but 7d momentum is significantly negative (-12.74%), and price sits only 12.50% above 7d low indicating weak recovery. Volume is dec"
2026-06-07,20:06:48,HBARUSDT,0.08168,HOLD,none,0.35,5,MEDIUM,3.97,-17.34,-68.3,49.8,0.0,-1.29,"Mixed signals prevent conviction: 24h momentum is positive (+3.97%) but severely contradicted by negative 7d momentum (-17.34%) and price 17.79% below 7d high, indicating downtrend dominance. Volume c"
2026-06-07,20:06:48,UNIUSDT,2.56,HOLD,none,0.35,5,MEDIUM,5.57,-15.57,-44.9,49.4,-0.003,0.85,"Mixed signals prevent conviction: 24h momentum is positive (+5.57%) but heavily contradicted by 7d downtrend (-15.57%) and distance from 7d high (-16.07%). RSI at 49.4 shows neutrality, volume is decl"
2026-06-07,20:06:48,SUIUSDT,0.7511,BUY,long,0.62,5,MEDIUM,7.04,-16.63,-43.5,57.8,0.01,-0.42,"Strong 24h momentum (+7.04%) and macro fear regime favour longs; RSI at 57.8 shows room to extend without overbought conditions. However, weak 7d momentum (-16.63%), declining volume (-43.5%), and fal"
2026-06-07,20:06:48,HYPEUSDT,58.745,HOLD,none,0.35,5,MEDIUM,-1.5,-13.34,-52.5,42.2,0.0024,-0.3,"Mixed signals prevent conviction: macro environment favours longs (extreme fear, BTC dominance stable), but HYPE shows strong downtrend momentum (-13.34% 7d, -22.52% from 7d high) with declining volum"
